Date;sta1;sta2;sta3;sta4;sta5
2008-01-16 09:00:00;69.9;44.1;44.7;67.5;128.1
2008-01-16 10:00:00;64.4;47.6;56.2;60.3;133.9
2008-01-16 11:00:00;80.1;33.2;42.5;43.2;96.7
2008-01-16 12:00:00;59.1;76.1;44.2;48.1;38.6
2008-01-16 13:00:00;71.9;59.7;38.4;87.9;52.3
2008-01-16 14:00:00;55.9;8.8;71.2;35.1;90.4
2008-01-16 15:00:00;50.6;102.7;52.3;40.5;
2008-01-16 16:00:00;39.9;90.9;36.7;;55.3
2008-01-16 17:00:00;62.3;63.9;38.5;81.8;72.6
2008-01-16 18:00:00;98.2;89.1;58.9;123.1;124.2
2008-01-16 19:00:00;133.3;180.3;105.2;159.4;154.6
2008-01-16 20:00:00;160.7;281.9;160.1;248.3;146.9
2008-01-16 21:00:00;147.5;191.8;114.6;98.1;144.4
2008-01-16 22:00:00;225.7;212.1;183.5;159.1;99.9
2008-01-16 23:00:00;;286.2;202.4;222.7;108.9
2008-01-17 00:00:00;324.4;256.7;182.2;207.2;156.7
2008-01-17 01:00:00;238.5;105;165.8;88.2;121.4
2008-01-17 02:00:00;49.6;49.3;136;73.5;139.3
2008-01-17 03:00:00;58.7;49.8;69.8;45.3;87
2008-01-17 04:00:00;69;59.6;41.9;8;73.8
2008-01-17 05:00:00;;40.8;19.4;58.6;62.5
2008-01-17 06:00:00;22.7;58.6;;39.4;41.5
2008-01-17 07:00:00;63.5;53.9;15.6;56.6;71.8
2008-01-17 08:00:00;55;66.9;;92.1;99.1
2008-01-17 09:00:00;66.1;72.3;27;46.7;119.9
2008-01-17 10:00:00;56.7;132.5;32.6;93.3;106
2008-01-17 11:00:00;86;109.8;86;103.2;80.8
2008-01-17 12:00:00;75.1;105.9;77.6;39.7;80.6
2008-01-17 13:00:00;55.9;126.5;59.7;83.3;63.4
2008-01-17 14:00:00;53.3;148.6;67.4;32.8;74.4
2008-01-17 15:00:00;63.2;178.3;71.2;25.7;92.4
2008-01-17 16:00:00;50.7;189.6;63.2;;95.2
2008-01-17 17:00:00;17.6;140.1;76.3;50.4;101.7
2008-01-17 18:00:00;96.1;239.7;77.2;144.8;114.1
2008-01-17 19:00:00;136.8;271.6;159.1;166.1;203.4
2008-01-17 20:00:00;245.8;311.1;199.8;220.5;209.3
2008-01-17 21:00:00;105.7;232.5;223;160.3;188.7
2008-01-17 22:00:00;126;226.6;170.9;105.5;105.8
2008-01-17 23:00:00;101.9;249.5;105.9;140.8;117.6
2008-01-18 00:00:00;132.9;178.8;54.1;70;99
2008-01-18 01:00:00;97.5;122.6;46.1;80.3;102.3
2008-01-18 02:00:00;82.3;54.8;78.3;87.9;134.1
2008-01-18 03:00:00;114;116.4;38.8;66.6;117.2
2008-01-18 04:00:00;221.7;35;40.2;23.5;88.3
2008-01-18 05:00:00;221.6;52.1;57.3;61.6;50.4
2008-01-18 06:00:00;234.9;34.5;23.7;106.6;46.7
2008-01-18 07:00:00;236.4;43.3;39.4;129.5;81.8
2008-01-18 08:00:00;187.9;63.7;34.8;114;127
2008-01-18 09:00:00;177;92.5;78.4;144.9;203
2008-01-18 10:00:00;177.3;152.1;127.4;69.3;
2008-01-18 11:00:00;125.4;73.7;168.5;93.6;154.7
2008-01-18 12:00:00;49.9;61.2;130.8;118.1;101.1
2008-01-18 13:00:00;56.3;40.1;95.7;103.1;73.9
2008-01-18 14:00:00;75.4;66.9;90.5;86.7;38.9
2008-01-18 15:00:00;106.4;170.7;71.3;71.2;97
2008-01-18 16:00:00;101.2;186.4;52.8;48.9;153.3
2008-01-18 17:00:00;76.9;148.2;63.4;95.7;225
2008-01-18 18:00:00;115.2;215.6;62.2;95.7;242.5
2008-01-18 19:00:00;131.7;223.2;76.2;99.8;199.1
2008-01-18 20:00:00;224.3;222.2;71.9;106.4;185.1
2008-01-18 21:00:00;197.8;162.6;75.3;67.7;215.9
2008-01-18 22:00:00;180.1;64.6;99.3;90;185.7
2008-01-18 23:00:00;128.9;73.2;105.5;89.9;148.6
2008-01-19 00:00:00;87.7;85.2;60.1;69.7;95.3
